METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE,MAX_CAP_CHG
4551,TICKETLESS METER MULTISPACE ,AUSTIN ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Austin St between Newstead Tce & Breakfast Ck Rd in Newstead,9,0,,153.044251,-27.446103,4000545,9.2
4552,TICKETLESS METER MULTISPACE ,AUSTIN ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Austin St between Newstead Tce & Breakfast Ck in Newstead ,11,0,,153.04325,-27.445959,4000545,9.2
4554,TICKETLESS METER MULTISPACE ,EVELYN ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Evelyn St between Breakfast Ck & Newstead Tce in Newstead ,15,0,,153.044098,-27.447043,4000553,9.2
4555,TICKETLESS METER MULTISPACE ,EVELYN ST,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Evelyn St between Breakfast Ck & Newstead Tce in Newstead ,9,0,,153.045211,-27.447208,4000552,9.2
4556,TICKETLESS METER MULTISPACE ,EVELYN ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Evelyn St between Newstead Tce & Gordon St in Newstead ,11,0,,153.045316,-27.447368,4000553,9.2
4557,TICKETLESS METER MULTISPACE ,BYRES ST,NEWSTEAD,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Byres St between Evelyn St & Waterloo St in Newstead ,5,0,,153.043883,-27.447441,4000557,
4558,TICKETLESS METER MULTISPACE ,GORDON ST,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Gordon St between Evelyn St & Waterloo St in Newstead,6,0,,153.044713,-27.447657,4000559,9.2
4559,TICKETLESS METER MULTISPACE ,BYRES ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Byres St between Waterloo St & Evelyn St in Newstead ,8,0,,153.043763,-27.447419,4000558,9.2
4560,TICKETLESS METER MULTISPACE ,CRESWELL ST,NEWSTEAD,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Creswell St between Evelyn St & Waterloo St in Newstead ,8,0,,153.043055,-27.447576,4000554,
4561,TICKETLESS METER MULTISPACE ,CRESWELL ST,NEWSTEAD,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",3,,Creswell St between Evelyn St & Waterloo St in Newstead ,4,0,,153.043079,-27.448094,4000555,
